reviewid,username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat
gp:AOqpTOEsQPZIRMerLd40i25ecEA-yFUbCTPi2Xa0bwUJBJNCVojyH3JFv94BdsguSbenbVA6zT4lhkAxJd2scGg,Steven Vuong,https://play-lh.googleusercontent.com/a/AATXAJwfXl6oRjO8O8oa512oz2iks0kMyBTCpZ48wflT=mo,"The app wont open on my phone anymore. It is stuck on the ""updating your app"" and ""checking for updates"" for several minutes. Tried updating on Play Store and it still will not open properly. Can you pleade fix you app from this weird glitch? And change it so that this ridiculous update upon opening the app goes away altogether...",1,10,1.83.0,2021-09-26,nan,NaT
gp:AOqpTOFEBkFKI87j4ERZxlVqlYHbQ_IUiooUhTz7f7skVOjiKOLlMnyZ-INhkEvdZkCeN7MA-T1LrFUFyfKmG6I,Kevin J Smith,https://play-lh.googleusercontent.com/a-/AOh14GimeBK-h7gojASFYSG8L06F6hmRhWevEElaQ5p8yA,"They refuse to honour points when there is an error on their end and you followed instructions properly. Says ""cash back"" but you actually get gift/e-gift cards or certificates which isnt actually cash back. It requires a lot of time and effort to get enough points for good stuff plus the app is so SLOW it feels like its hacked. They refuse to honour some bank cards even though it is a Mastercard card issued by that bank. And FINALLY, Customer service takes almost a week to get back to you!",1,16,1.82.0,2021-09-16,nan,NaT
gp:AOqpTOGdrccpxngxFS_YumKi3Skv-r1XoeqOm5zZ-Gshkx_JNZCz1pzpRjpwsJ9aFF9nzvIea2W-YCo6gihPkH0,Sheila Behan,https://play-lh.googleusercontent.com/a/AATXAJxhtBigIN1QI9MT8ydVlvHijPAkQbTU_vLjEsCg=mo,When you shop at certain store you are suppose to get point. That work for a while. Now I only get points for games and surveys. Even when I shop at stores on the list I still don't get points. I have shopped at Safeway at least once a week and I have not got any point since the middle of September. Unfortunately the stores that are on the app are not close to me. In the last 3 months I have not got any points from McDonalds,2,21,1.82.0,2021-08-26,"Hey Sheila! We’re excited to introduce Flash Deals, the takeover of Power Offers, designed to feature brands we know you’re going to love. Similar to Power Offers, you’ll shop with a linked card. For more info, please submit an in-app support ticket (profile at the top left of the app, then ""get help"") and reference your review. Thank you!",2020-10-26 15:46:31
gp:AOqpTOEMYxL-Ko8_PdGJaWmKzoSLBcFuvin2IHEgQsTGpV4m7M0fRZSSFMMv1jwgje0l27DBrfmWfYibdVIlHqs,Amanda Carruthers,https://play-lh.googleusercontent.com/a-/AOh14GjGh_ZM9CB_XeEUP7EU1en1zdBQMligwgWUcJ4F,"Right now, I have to give this a low rating. All I can do is a few surveys or play games, most of which I either already have played in the past, which aren't applicable for points, or have zero interest for me. I have had the app.for a week now and I still can't link my cards. I keep getting a no communication message. I have contacted support and, understandably, they can't connect my card for me. But I was basically told to just keep trying. It's more trouble than it's worth right now.",1,4,1.83.0,2021-09-27,nan,NaT
gp:AOqpTOElpzKyjw90i3URG3t9HPdl5cjx0BiprDbfzmTdXnwEYHaY45vI41vBqENVM1TyMBk3sko8lK_zfq7mOzM,Manal Elmiladi,https://play-lh.googleusercontent.com/a-/AOh14Gi9_1Zn4_KbAH5NKs5pEMUVGqiAkcIsOuq53CCZ,"Save yourself the trouble and do not download it. Might have been a decent app in the past but it just jeeps getting worse. Take forever to load stuff but the worst thing is thier support team. They totally ignore straight out, accuse you of lying and do not even attempt to solve your issues.",1,1,1.82.0,2021-09-17,nan,NaT
gp:AOqpTOEF8TGujq-UZlpbcFMfv9g9Arcl2jbgvxgdgFFfSI4FGm6j0vrtAFX1exwjYMq81ZWBah2NYyHkeLB-4G0,Martina Ethier,https://play-lh.googleusercontent.com/a-/AOh14GhR33x2vLAerYnwiwp0zZdmwGbRXVVRx9Ik37_Vbfw,Such a great app. Earn points to use towards real gift cards. Love to cash in on gift cards. I save up throughout the year and use my points towards Christmas presents.,5,3,1.84.0,2021-10-22,nan,NaT
gp:AOqpTOG-jcSiYrWOeKSouVRk1BSQZdZuYLHrsL_pVusJVA-tju12MkYuNHfgTxxP1u5owTu9XcUzpDIDBMrnue4,Julie Casselman,https://play-lh.googleusercontent.com/a-/AOh14GgnGF-p8lV9Qirga2uCAam0_ACp5oXi7nsnGhdEXQ,"I really like the app and find the surveys/games/shopping rewards to be pretty good compared to other apps, but it is INCREDIBLY SLOW. If you guys could fix the speed lots of people would want to use this",3,1,1.84.0,2021-10-21,nan,NaT
gp:AOqpTOFw5byyOH-KGY7VUcJevh_M54sRugFGUNw0mgdarpU3S2kveBvlGTVuooIuXULd8ZwHd0FTS-UTtGnQn_Q,Chris Newman,https://play-lh.googleusercontent.com/a/AATXAJxZtrbgk-x3Gfl_9QZzh8QoQrSeFNA6o13oUlFa=mo,The idea of this app is okay. And seems to work. But the app is painfully slow. Click on a button.... Wait.... Wait..... Wait.... 30 seconds later it responds. So frustrating!!,1,8,1.82.0,2021-08-31,nan,NaT
gp:AOqpTOGvDP69KlcgC33gK0TUh3mtc1_EaVZ9HPzZ_4oVdNcYZfe8zF5Pn8aSv1kQouoTUa_Kk_takGr63HuCWnE,Sam Grace Saji,https://play-lh.googleusercontent.com/a/AATXAJwQWTeRPNA0XZr7dNIVoQ_U2y3iQN4oU2W4aT5-SQ=mo,"After the latest update, the app simply says ""Checking for updates"" when loading and then crashes. Android 10 on OnePlus 5T.",1,6,1.82.0,2021-09-04,nan,NaT
gp:AOqpTOHHCt3DS2Knk7vFivBtKSQJO8VxWIyDgl-CpRmykDOKGgG67CXSZ4h7A3SnN9Z1h2vFIsGRhkcX6W8n3QA,Christina Connelly,https://play-lh.googleusercontent.com/a/AATXAJz91IWoW7AQnpz1BoaffUpKnV4MjqfmKmVDowD-=mo,I wish I could give less than a star... doesn't even open just crashes. Messaged developer more than once and nothing...,1,3,1.83.0,2021-09-29,nan,NaT
gp:AOqpTOFkNCF2hBmkQDTqYxbRSCwgGShGzPO3mOhrtp5dj7j59fnFJAKyMRZRUO8BPPT672sgWCMpY-TKk7xy10A,Joshua Nelles,https://play-lh.googleusercontent.com/a/AATXAJynbuyvNK49kOZCeqV8sCmh3TSkDiuwrMqLerZk=mo,"It won't let me link my card but everything else works great, even with the card issues I am having I still highly recommend trying this for yourself....it's well worth your time.",5,3,1.82.0,2021-09-02,nan,NaT
gp:AOqpTOFf46j2-wfQBlijaaupyTeB2BJz1TXacfjreO0CGTkncNZOHem5ZQ4l3fWxTFOGxcz87NH7tDQ_6LjX32U,Stella Huang,https://play-lh.googleusercontent.com/a/AATXAJxmVGOupNqFAVTCJYre9dy4WdSSGwIZLdYYh-zR=mo,App is always laggy and freezes all the time,2,0,1.86.0,2021-11-04,nan,NaT
gp:AOqpTOG9nGyfcF7MQcKBBkYqatw9XqZgazzydoXl5GXDoPlUMadb7v01vdA6DXWaxMEe3TQsVk_sz1LRMX3yH_M,Stephanie Grondin,https://play-lh.googleusercontent.com/a-/AOh14GguFTfG4fjVFucDI9TtmsS6EKY6EJqnOGcr2XtzAw,An awesome app that gets me rewards just by doing my everyday purchases. The points from playing games I enjoy is a nice bonus,5,1,1.82.0,2021-09-10,nan,NaT
gp:AOqpTOG0K3iCgja_gTv0PIsqoPJNhPT6Y7FGLr2Hoaxfckio-rLrtUtzsOF_WYDXnoflAY4I90qxchE23lwQ3O8,Kara Ranger,https://play-lh.googleusercontent.com/a/AATXAJxu2AfU1V5fVlgnXd8W7ZhzPr9TuKd5IYfqZK_0=mo,"Not sure why there are so many bad reviews, I love this app! I find it more rewarding than ampli or checkout 51. Every week I complete the flash offer because with options like Amazon, McDonald's, or Starbucks I've always used it! I like this app over others because I don't buy things I normally wouldn't buy just to get points. I normally shop at Walmart, SportChek, indigo, etc and if you buy when they have point deals your points can add up quickly! The games and surveys also add up slowly!",5,9,1.81.0,2021-09-10,nan,NaT
gp:AOqpTOEqSDCLxbm9Q7EpN6HIQ9B-AIQM3DQr6F6pqyDKR7mx46IWo1PhaKbPPrEuoCP8zPQOR3j3yEYbC3IG6rw,Brian S,https://play-lh.googleusercontent.com/a-/AOh14GgW8Kl1-b0OZmYrxwPmYBigsLwM5mfY-LTE-4pJgA,"I've been using the app awhile and in the beginning was skeptical, especially with the type of info they asked for... But so far nothing shady has happened. Also once in a while there is a bug and I brought it up with the support team (and true, some aspects of this could be streamlined a little) but the help I've gotten so far has always been great! So not at all regretting downloading this app",4,37,1.81.0,2021-08-16,nan,NaT
gp:AOqpTOE2AuKJCBhy-TddTCUrzo3YJd9Q6mBSiWqszAl5u8xtb0Rq3NLVo041Mt6UElesd_ClM3gFUbrVopEMSJs,Aseef Daredia,https://play-lh.googleusercontent.com/a-/AOh14GjRGS3FZ1jeVw4RvWGKjTStJtR-tLYYALluRCxxhkw,"App was way better in the beginning (years ago), now almost every offer requires you to follow their link. Ampli is a far better option. My connected card hasn't earned me points in literal years, and I have shopped many of the in-store offers. Their customer service chat is automated and you can only start a ticket for 1 specific transaction at a time. No email address to inquire about a broader points issue? 👎🏽",1,57,1.81.0,2021-08-10,nan,NaT
gp:AOqpTOGTM_yPWvZR1U0cM-yobTWJvz5qTCvcnVz_ZuU1y2wjOjh_VO4BJUKFPYvpzvb9MsaFe9eVWUcbZMc2-M4,C. Wallace,https://play-lh.googleusercontent.com/a-/AOh14Giwz0vNS8zpqUiFD1IwO8aXIr3G1Frwsmn4H9r_hfQ,"I have had Drop for about 2 years now. I have earned about $200 in Lululemon gift cards pretty much through my standard spending habits. You'll need to track the points you should earn because 2/3 times, they do not get awarded to your account without following up with customer service about it. From that point of view, this app has MANY issues. It's a seriously frustrating and time consuming process at points, but I've found the rewards I've earned make it worth the effort.",3,19,1.80.0,2021-06-05,nan,NaT
gp:AOqpTOHGknLGkdPTYqzxWwO19LIBtMMZi7mA-a0RuDt6mX4o0ALCar4TGpwzqwHMqDHab9RgktAD36K0qraBpg8,Justina He,https://play-lh.googleusercontent.com/a-/AOh14Gjj8l6HPbNHot_OPEo0-CMBA_awoCuqR0-fo5Zsig,Great way to earn some gift cards! The games and surveys are easy enough ways to get fast points and the points on purchases are nice too. Points and rewards delivered fast. Way underrated app. Only complaint is that I'm experiencing a bug where half the games don't work but it's still a great app.,4,26,1.80.0,2021-06-17,nan,NaT
gp:AOqpTOFeX7zXPWom8rvYlCUi6OM-YueaBlwpVvoWUA-QG76NFu1R82RX1hGxhh9VEMUkJOUFgdjGJQ7qCH8-TDg,Wisdom Hai JIANG,https://play-lh.googleusercontent.com/a/AATXAJy1duWrJ7VByALaziADBOzfdgSQiw3mzuJUtLcZ=mo,Pretty good. A lots of deals to explore. The app is slow to respond sometime though. Generally good.,5,0,1.81.0,2021-08-28,nan,NaT
gp:AOqpTOFV8tH4Hr_p2vBSmFru3O4-x-D5Y-VMNortAa_TF0LKUn38ZHLutxNi8pmHPmh1Vt0BNg8uKRj9bIAzmy4,Manjoban Dhillon,https://play-lh.googleusercontent.com/a/AATXAJzKKSvhYcoJaJz3G2psRvprx_fmFZNvfDzL7Uh_=mo,Best app to earn extra rewards on your everyday purchases. Above that you can earn by playing games and everyday. It's must have app.,5,0,1.81.0,2021-08-31,nan,NaT
gp:AOqpTOHP_aHIdE5bU1s4QTJOzFyOF_5ZbzuEZ4XCShsbgk3GtaQ_0_srvLJQTLPJTfPlD0Hwx8dc-TXZryEqu4I,Tony H,https://play-lh.googleusercontent.com/a/AATXAJxudV9dP2pbFsr5T6Mf3DaHC1OgLOjHw-1nQDjOWuI=mo,"App not well optimized. Not very responsive, sometimes do not respond at all.",2,0,1.81.0,2021-08-23,nan,NaT
gp:AOqpTOEgTT4ZwWp8H8rYuF_IYM1C9xsA1JvshrdZYfmptOz4wiuu9IML44x4TcousJTQ_CkuiXLxd30DhB2fdvA,Katie-Beth Van Kuik,https://play-lh.googleusercontent.com/a-/AOh14GgcNZLqJHOtPqS-lxj4K9kNY1l4vtJO5JdDPVOu8xg,"I'm confused by the 1 star reviews, I have been using this app for years now and it's amazing. It actually pays out, I have redeemed for multiple sephora gift cards as well as others.",5,9,1.81.0,2021-08-16,nan,NaT
gp:AOqpTOHduC1s4W6o8_osrHqTMgapbPtn-k_qlyLS4wctZJ2HGdjdTyymz1yy8nagvtNmqngNIntzzVK4lmhkJew,Crystal Shaver,https://play-lh.googleusercontent.com/a/AATXAJxyD8Qec-1q3ZZMInUYoNDnJwWb3hYpX1f6FpN_=mo,My experience has been great until recently. I've tried multiple times to reach out to drop support team and have yet to hear back from anyone. I would have given 5 stars if not for that,4,22,1.81.0,2021-08-08,nan,NaT
gp:AOqpTOEysyDPMYTOXsQcx4jbFm_zlv2YXUCwPIhVpD20hEcDj-6cUGvYykNvyOM2uu2KcP8-rRPq8hPygfSkdnk,Jennifer Brown,https://play-lh.googleusercontent.com/a-/AOh14GirCpJbPom_K3kzdsXk69baAVPswxQz35YiH8EeLP8,"I got this app based on youtube influencer who is a no nonsense, tell it like it is person ""Dr Dray"" whom I trust implicitly, however I have not been so frustrated and disappointed about an app if ever! I signed up & tried to link my 3 cards and was successful on only 1. With regards to the 2 I kept getting an ""error"" msg that my user name & p/word was incorrect. I repeatedly tried to link thinking that I made an error with a digit but all #'s was correct. I'm so fed up and will uninstall soon",1,4,1.81.0,2021-08-16,nan,NaT
gp:AOqpTOH9Mgdtec8uuaevhI1smfZJcXITSjifZ4qCXpT5L56KYk8ZALEQP3P9o0a__i8dbtkZxtAw6Si-7C4v3fg,Irish Kismet,https://play-lh.googleusercontent.com/a-/AOh14Ggc1q4BgBzy1povWDXcbozJLxUopehTqSp_8jobFQ,"Not sure what they have done recently, got a new phone and when you go to sign in it asks you to pick two options in order to proceed with 0 options available 😏",1,26,1.80.0,2021-06-06,"Hey there! We'd like to look into this, please reach out to support@joindrop.com and we'll work out what the issue seems to be. :)",2021-06-10 12:17:40
gp:AOqpTOGuEAG4OQ_KwxVdFKcryrFhH-oZu2fdw42UBCUoC50X-QDecy8njvlYDOO4f321nbdq0UciKjFOR11wACo,Vera Lee,https://play-lh.googleusercontent.com/a/AATXAJwIgNzE7dD253Qgn8LwSl0zhguqR3HHS6q_ADAf=mo,It's a nice app but I just used it. I don't have a lot of experience for sharing. But I think if you know what to do with points. You will happy use it.,3,4,1.80.0,2021-06-03,nan,NaT
gp:AOqpTOH7r9ff4NpRrLraacpF0NVK5br2XpchvKl-bIe1-u_wL54k7czrI0ellRHWU37ng6lVerzSO_El--vju68,Craig Griffin,https://play-lh.googleusercontent.com/a-/AOh14Gg8nKemQhmkD4Pp47oEXWgYRN8YyHt0vwetLWCIDVU,"Been using app since 2016. Used to be a solid app with obtainable rewards. After changes to point system, rewards are near impossible. I have unlinked my details and moving on away from this. Highly suggest you don't waste your time trying to get anything from this.",1,2,1.62.0,2020-08-26,nan,NaT
gp:AOqpTOFLysGd8poXnHVRo5EyMMqYgBL-bUIXax83fFF6WPGY1S4DM_T45TfpYkjzDfUYcqkkApv52nG5gyvLDq8,Rex Holz,https://play-lh.googleusercontent.com/a/AATXAJxsaDIK6Kvc9k6blEvufLayq8E5eTxPTvzbPwIF=mo,"It's fine, there are very little earnings opportunity for me. My card unlinks constantly, have to relink it every couple days. I can't wait till I have enough to cash out so I can delete this and wast of time app.",1,4,1.80.0,2021-07-15,"Hi Rex, I'd love to help you here - cards can sometimes unlink repeatedly for specific reasons that we can help you clear up. Could you reach out to us through the Help links in the app so we can lend a hand? Just note that you're following up a review, and we should be able to match things up.",2021-07-19 10:52:28
gp:AOqpTOHqR0MNI7ccbL-OI4_lK_US3fZ2XBN4S9omDRytY6DtDcsasj2HbnTsoS8lLEUy-dYojq0WPYqCaekKzWM,Matheo Fou Fou Lego,https://play-lh.googleusercontent.com/a-/AOh14GiFADNXq-ZtvyPau8tqVj39AwYKGqG_IEx5V33W9Q,Slow and steady. And you get rewards when you are done. I have enjoyed a few gift cards so far,5,14,1.81.0,2021-08-06,nan,NaT
gp:AOqpTOG-3Umc1oBs54MZViOrSkA8kUWcrf-5Lvt7PxoYsN7buH_F_qWARoU7KZy2pyUb-tKxOmijcnLIYNla4aM,Anson Chan,https://play-lh.googleusercontent.com/a/AATXAJwsh9M8-BqiFdWOpMCR7CLWjDSSJFcEZSucOral=mo,They only reward you when you made small purchases. When you made big purchases they will deny it with all sort of excuses. Customer service is horrible even with their manager named Chris.,1,6,1.80.0,2021-06-10,nan,NaT
gp:AOqpTOE0YQZiqZaJhT2HeRpUNOHzZakTbQNItVRbpJ9CBAszDJVpN9e4uPaobiXaE8Mekpt2Cqwp3ddiY67b5L4,Matthew Tedford,https://play-lh.googleusercontent.com/a-/AOh14GjHB3B5ucNKFyPlzzSSs-AH6u6fhEERVyL5MaGK-A,UI is mostly unresponsive or VERY slow. Been a user for years but I give up.,1,4,1.80.0,2021-06-05,nan,NaT
gp:AOqpTOFAGym0EmPXgPNCHqwnHtp2ZLcH1iqHPRsOltzZftSfsFrS_p8g6HPqG_AMmjGPxpQZ0ulLX74P4b4mTJc,Jennifer Thompson,https://play-lh.googleusercontent.com/a/AATXAJxTbzKwtc-_wuVz6AZA446x--FWaBzvwClG3Feu=mo,Drop has not been able to connect to my bank for months now. Used to connect no problem and recieved lots of 'points' at two stores. Now those points are not available and I do not shop online much or from any of the retailers they offer now. Just redeemed most of my points for gift cards because I do not see a fix coming anytime soon.,2,0,nan,2021-09-10,nan,NaT
gp:AOqpTOEhuaniukkPfAy1X0EKbNK9FiIyagW5-_3leUkdxtqZQMLVDmyUJq2x-cUNY6eezMLEbpKHRsNQp1h1jzI,Neil Smith,https://play-lh.googleusercontent.com/a-/AOh14GgPSccXI1t3ZId0qRE57PyHrQatWChXMzkpJh9umfE,"Used to be a great way to save a few bucks every couple of months. Used to be automatic. Now they've changed it to require almost all shopping to be done through the app and it's a horrible experience. This app ""Drop""ped down from 5 stars and is now virtually worthless. I saved about $15 in the first 6-8 months. Since then, I haven't saved a dime. It's now uninstalled.",1,1,1.64.0,2021-06-05,nan,NaT
